Player,Tm,Pos,Type,Class,Details
Margus Hunt,IND,DT,Knee,questionable,Hunt was removed from the previous game due to a knee injury and his status is clouded for Sunday's contest against the Jets.
Clayton Geathers,IND,S,Neck,doubtful,Geathers left the last game due to a neck injury and a concussion. It is unlikely he will play against the Jets on Sunday.
Deon Cain,IND,WR,Knee,I-R,Cain has landed on injured reserve as he suffered a torn ACL.
Jeremy Cash,ARI,LB,Knee,I-R,Cash is on injured reserve due to a knee injury.
Jonathan Owens,ARI,S,Knee,I-R,Owens is on injured reserve with a knee ailment.
Gabe Martin,ARI,LB,Achilles,I-R,Martin is recovering from an Achilles injury while on injured reserve.
Jermaine Gresham,ARI,TE,Achilles,questionable,Gresham is hampered with an ongoing Achilles injury and it is unclear if he will be available to play against the Vikings on Sunday.
Budda Baker,ARI,S,Shoulder,questionable,Baker hurt his shoulder and it is undetermined if he will be active for Sunday's game against the Vikings.
Trent Sherfield,ARI,WR,Illness,probable,Sherfield is ailing from an illness but is expected to take the field against the Vikings on Sunday.
Larry Fitzgerald,ARI,WR,Hamstring,probable,Fitzgerald has a hamstring injury but is likely to play Sunday against the Vikings.
Jamar Taylor,ARI,CB,Hamstring,probable,Taylor is hampered by a hamstring injury but is likely to appear in Sunday's lineup against the Vikings.
Corey Peters,ARI,DT,Elbow,questionable,Peters is bothered by an elboy injury and it is uncertain if he will participate in Sunday's clash against the Vikings.
D.J. Humphries,ARI,OL,Knee,questionable,Humphries is nursing a knee injury and it is unknown if he will take part in Sunday's game against the Vikings.
Josh Bynes,ARI,LB,Wrist,questionable,Bynes is battling a wrist injury and it is uncertain if it will hinder his availability for Sunday's tilt against the Vikings.
Tre Boston,ARI,S,Shoulder,questionable,Boston is dealing with a shoulder injury and it is unclear if it will prevent him from playing against the Vikings on Sunday.
Robert Nkemdiche,ARI,DT,Foot,questionable,Nkemdiche sat out the previous game due to a foot injury and it is uncertain if he will be active Sunday against the Vikings.
Mike Iupati,ARI,OL,Shoulder,questionable,Iupati left the last game due to a shoulder injury and it is undetermined if he will be available against the Vikings on Sunday.
Sam Bradford,ARI,QB,Pectoral,questionable,Bradford has missed the past two games due to a pectoral injury and it is unclear if he will be available Sunday against the Vikings.
Andre Smith,ARI,OL,Hamstring,questionable,Smith was forced from the previous game due to a hamstring injury and his availability against the Vikings on Sunday is clouded.
Markus Golden,ARI,DE,Knee,questionable,Golden sat out the last game with a knee injury and it is unknown if he will be in the lineup against the Vikings on Sunday.
D.J. Foster,ARI,RB,Knee,I-R,Foster has been placed on injured reserve after he tore his ACL and MCL in his knee.
A.Q. Shipley,ARI,OL,Knee,I-R,Shipley is on injured reserve after suffering a torn right ACL.
Datone Jones,DAL,DE,Hamstring,I-R,Jones has landed on the injured reserve list due to a hamstring injury.
Parker Ehinger,DAL,G,Knee,I-R,Ehinger is on injured reserve with a knee injury and it is yet to be determined if he will be activated against the Titans in Week 9.
Noah Brown,DAL,WR,Hamstring,I-R,Brown has been designated for injured reserve with a hamstring injury and it is undetermined if he will make his season debut against the Titans in Week 9.
Demarcus Lawrence,DAL,DE,Shoulder,probable,Lawrence is tending to a shoulder injury but is likely to participate in Sunday's contest against the Jaguars.
Cole Beasley,DAL,WR,Ankle,probable,Beasley is likely to play Sunday against the Jaguars despite an ankle injury.
Tavon Austin,DAL,WR,Shoulder,probable,Austin is hobbled by a shoulder injury but is likely to be active for Sunday's matchup against the Jaguars.
Sean Lee,DAL,LB,Hamstring,doubtful,Lee suffered a substantial hamstring injury and it is unlikely he will be available for Sunday's contest against the Jaguars.
Randy Gregory,DAL,DE,Knee,questionable,Gregory hurt his knee and it has yet to be established if he will participate in Sunday's game against the Jaguars.
Ezekiel Elliott,DAL,RB,Knee,probable,Elliott is expected to suit up against the Jaguars on Sunday despite a knee injury.
Tyron Smith,DAL,T,Ankle,questionable,Smith is bothered by an ankle injury and it is unknown if he will take part in Sunday's clash against the Jaguars.
Maliek Collins,DAL,DT,Knee,questionable,Collins has missed the last three games due to a knee injury and it is unclear if he will return against the Jaguars on Sunday.
