Player,Tm,Pos,Type,Class,Details
Cedrick Wilson,DAL,WR,Shoulder,I-R,Wilson is on the injured reserve list due to a torn labrum in his shoulder and it is unclear if he will be activated during Week 9 against the Titans.
Deiontrez Mount,DEN,LB,Achilles,I-R,Mount has landed on injured reserve with an Achilles injury.
Troy Fumagalli,DEN,TE,Groin,I-R,Fumagalli is dealing with a groin injury and has landed on the injured reserve list and it is unclear if he will be activated in time for Week 9 against the Texans.
Jerrol Garcia-Williams,DEN,LB,Knee,I-R,Garcia-Williams is on the injured reserve list due to a torn ACL.
Derek Wolfe,DEN,DE,Hamstring,probable,Wolfe left the last game due to a hamstring injury but is expected to suit up against the Cardinals on Thursday.
Dymonte Thomas,DEN,S,Chest,questionable,"Thomas was held out of the previous game due to an injured chest, leaving his availability for Thursday's contest against the Cardinals clouded."
Shane Ray,DEN,LB,Ankle,questionable,Ray is dealing with injuries to his ankle and wrist. It is unknown if he will suit up against the Cardinals during Week 7.
Adam Jones,DEN,CB,Thigh,questionable,Jones sat out the previous game due to a thigh injury and it is unknown if he will be available for Thursday's matchup against the Cardinals.
Jared Veldheer,DEN,T,Knee,questionable,Veldheer has been held out of the previous two games due to a bone bruise in his right knee and it is unclear if he will play Thursday against the Cardinals.
Jordan Taylor,DEN,WR,Hip,I-R,Taylor is on the active PUP list as he is recovering from hip surgery and it is unclear if he will make his season debut Thursday against the Cardinals.
Matt LaCosse,DEN,TE,Knee,questionable,LaCosse has a knee injury and it is unclear if he will play Thursday against the Cardinals.
Su'a Cravens,DEN,S,Knee,I-R,Cravens is on the injured reserve/designated to return list with a knee injury and it is undetermined if he will make his season debut against the Texans in Week 9.
Ronald Leary,DEN,G,Achilles,out,Leary suffered a season-ending torn Achilles.
Sam Jones,DEN,G,Back,out,Jones is sidelined due to a lower-back injury and there is no timetable for return.
Marquette King,DEN,P,Groin,I-R,King has landed on injured reserve with a groin injury.
Jake Butt,DEN,TE,Knee,I-R,Butt has been placed on IR after suffering a non-contact torn ACL in his left knee.
Jamal Carter,DEN,S,Hamstring,I-R,Carter has landed on injured reserve due to a substantial hamstring injury.
Andy Jones,DET,WR,Undisclosed,I-R,Jones has been placed on the active PUP list due to an unspecified ailment and it is uncertain if he will play in Week 7 against the Dolphins.
Jamal Agnew,DET,CB,Knee,I-R,Agnew has landed on the injured reserve list due to a serious knee injury.
Kerryon Johnson,DET,RB,Ankle,probable,Johnson was forced from the previous game due to an ankle injury but is likely to play Week 7 against the Dolphins.
Tavon Wilson,DET,S,Back,questionable,Wilson was held out of the previous game due to a back injury and it is uncertain if he will play Week 7 against the Dolphins.
Michael Roberts,DET,TE,Knee,questionable,Roberts has missed the last three games due to a knee injury and it is unknown if he will return Week 7 against the Dolphins.
T.J. Lang,DET,G,Concussion,questionable,Lang sat out the last game due to a concussion and it is undetermined if he will be cleared in time for Week 7 against the Dolphins.
Teez Tabor,DET,CB,Groin,questionable,Tabor left the previous game due to a groin injury and it is uncertain if he will be active for Week 7 against the Dolphins.
Eli Harold,DET,LB,Shoulder,questionable,Harold was absent from the lineup during the previous game with a shoulder injury and it is undetermined if he will play against the Dolphins during Week 7.
Ezekiel Ansah,DET,DE,Shoulder,questionable,Ansah has been held out of the past four games due to a shoulder injury and it is unclear if he will return to action against the Dolphins in Week 7.
Nick Bawden,DET,FB,Knee,I-R,Bawden is on the injured reserve list due to a torn ACL.
Steve Longa,DET,LB,Knee,I-R,Longa has landed on injured reserve as he suffered a torn ACL.
Muhammad Wilkerson,GNB,DL,Ankle,I-R,Wilkerson had surgery to repair a significant ankle injury and has been placed on injured reserve.
Kyle Murphy,GNB,T,Ankle,I-R,Murphy has landed on the injured reserve list due to an ankle issue.
Trevor Davis,GNB,WR,Hamstring,I-R,Davis is on injured reserve due to a hamstring injury and it is unknown if he will be activated prior to Week 10 against the Dolphins.
Cole Madison,GNB,G,Personal,I-R,Madison has been placed on the IR/Did Not Report list as he is away from the team and it is uncertain when he will return.
Jake Kumerow,GNB,WR,Shoulder,I-R,Kumerow is on injured reserve due to a sprained SC joint and it is undetermined if he will be designated to return for the game against the Patriots in Week 9.
Bryan Bulaga,GNB,T,Shoulder,questionable,Bulaga left the last game due to a shoulder injury and it is unclear if he will suit up against the Rams in Week 8.
Geronimo Allison,GNB,WR,Hamstring,questionable,Allison has been held out the past two games due to a hamstring injury and it is uncertain if he will return to the lineup Week 8 against the Rams.
Randall Cobb,GNB,WR,Hamstring,questionable,Cobb has sat out the previous three games due to a hamstring injury and it is unclear if he will return against the Rams in Week 8.
Bashaud Breeland,GNB,CB,Hamstring,questionable,Breeland has been absent from the lineup during the past two games with an injured hamstring and it is undetermined if he will play Week 8 against the Rams.
Jaire Alexander,GNB,CB,Groin,questionable,Alexander has missed the previous two games due to a groin injury and it is unknown if he will be active against the Rams during Week 8.
Jason Spriggs,GNB,T,Ankle,questionable,Spriggs missed the previous game due to an ankle injury and it has yet to be established if he will be available Week 8 against the Rams.
Davon House,GNB,CB,Shoulder,I-R,House has landed on injured reserve while recovering from shoulder surgery.
Jake Ryan,GNB,LB,Knee,I-R,Ryan is on injured reserve with a torn ACL.
Andre Hal,HOU,S,Illness,I-R,Hal is on the IR/Non-Football Illness list as his Hodgkin's Lymphoma is in remission. It is unclear if he will be recovered in time for Week 7 against the Jaguars.
Bruce Ellington,HOU,WR,Hamstring,I-R,Ellington has been placed on the injured reserve list due to an injured hamstring and it is uncertain if he will return against the Titans in Week 12.
Dylan Cole,HOU,LB,Wrist,I-R,Cole dislocated his wrist and is on injured reserve.
Seantrel Henderson,HOU,T,Ankle,I-R,Henderson has landed on the injured reserve list after undergoing surgery for a broken ankle.
Kevin Johnson,HOU,CB,Concussion,I-R,Johnson has been placed on injured reserve due to a concussion and it is unknown if he will be activated in time for Week 11 against the Redskins.
Jermaine Kelly,HOU,CB,Undisclosed,I-R,Kelly has been placed on injured reserve with an unspecified ailment and it is uncertain if he will be available against the Broncos in Week 9.
D'Onta Foreman,HOU,RB,Achilles,I-R,Foreman has been placed on the active PUP list as he is recovering from a torn Achilles. He is unlikely to suit up Week 7 against the Jaguars.
Brian Peters,HOU,LB,Ankle,questionable,Peters has been held out of the last two games with an injured ankle and it is unclear if he will be available for Week 7 against the Jaguars.
Kayvon Webster,HOU,CB,Quadricep,I-R,Webster has been placed on injured reserve with a strained quadriceps muscle.
Aaron Colvin,HOU,CB,Ankle,out,Colvin has suffered a severe ankle injury and will be held out of action for at least six weeks.
Cam Robinson,JAX,OL,Knee,I-R,Robinson has landed on injured reserve after suffering a torn ACL.
DeAndre Goolsby,JAX,TE,Undisclosed,I-R,Goolsby is on injured reserve due to an unspecified injury.
Michael Hughes,JAX,DT,Undisclosed,I-R,Hughes is on injured reserve with an unspecified injury.
Jaydon Mickens,JAX,WR,Ankle,I-R,Mickens has been placed on injured reserve due to a fractured ankle injury and it is undetermined if he will return Week 15 against the Redskins.
Niles Paul,JAX,TE,Knee,out,Paul suffered a sprained MCL in his knee and is likely to be held out of action for an undermined length of time.
D.J. Hayden,JAX,CB,Toe,questionable,Hayden has missed the previous four games with a toe injury and it is unclear if he will return against the Texans in Week 7.
DJ Chark,JAX,WR,Concussion,questionable,Chark Jr. was lifted from the last game with a concussion and his status is in question for Week 7 against the Texans.
Carson Tinker,JAX,LS,Knee,I-R,Tinker has been designated for injured reserve due to a knee injury.
Malik Jackson,JAX,DT,Hamstring,questionable,Jackson left the previous game due to a hamstring injury and has yet to be determined if he will be in the lineup against the Texans in Week 7.
Tre Herndon,JAX,CB,Hamstring,questionable,Herndon missed the last game due to a hamstring injury and it is unknown if he will participate in Week 7 against the Texans.
Calais Campbell,JAX,DL,Ribs,questionable,Campbell was removed from the last game due to injured ribs and his status against the Texans in Week 7 has yet to be established.
Josh Wells,JAX,OL,Groin,I-R,Wells has been placed on injured reserve with a groin injury.
Leonard Fournette,JAX,RB,Hamstring,out,Fournette is sidelined with a hamstring injury and is likely to be held out of action until Week 10 against the Colts.
Corey Grant,JAX,RB,Foot,I-R,Grant has been placed on the injured reserve list due to a Lisfranc injury in his foot.
Austin Seferian-Jenkins,JAX,TE,Abdominal,I-R,Seferian-Jenkins has landed on injured reserve due to a core-muscle injury. He can be designated for return against the Titans in Week 14.
Marqise Lee,JAX,WR,Knee,I-R,Lee has landed on injured reserve due to ligament damage in his knee.
Step Durham,KAN,DB,Undisclosed,I-R,Durham has reverted to the injured reserve list with an unspecified injury after clearing waivers.
Tejan Koroma,KAN,OL,Knee,I-R,Koroma is on injured reserve with an unspecified injury.
J.D. Moore,KAN,RB,Undisclosed,I-R,Moore is on injured reserve with an unspecified injury.
Dillon Gordon,KAN,OL,Shoulder,I-R,Gordon is on injured reserve with a shoulder injury.
Byron Pringle,KAN,WR,Hamstring,I-R,Pringle sustained a hamstring injury and is on the injured reserve list.
Daniel Sorensen,KAN,DB,Knee,I-R,Sorensen had surgery to repair a tibia fracture and is also recovering from a torn MCL. He is expected to be sidelined for at least the first eight weeks of the season.
Mitch Morse,KAN,OL,Concussion,out,Morse suffered a concussion and will miss an undetermined length of time.
Eric Murray,KAN,DB,Ankle,questionable,Murray was held out of the last game due to an ankle injury and it is uncertain if he will take part in Week 7 against the Bengals.
Eric Berry,KAN,DB,Achilles,out,Berry is sidelined with a bone spur that digs into the Achilles and there is no timetable for recovery.
De'Anthony Thomas,KAN,WR,Leg,I-R,Thomas is on injured reserve due to a lower-leg fracture.
Tanoh Kpassagnon,KAN,LB,Ankle,questionable,Kpassagnon missed the last game due to an ankle injury and it is unclear if he will be available Week 7 against the Bengals.
Justin Houston,KAN,LB,Hamstring,questionable,Houston sat out the previous game due to a hamstring injury and it is unknown if he will suit up against the Bengals in Week 7.
Laurent Duvernay-Tardif,KAN,OL,Shin,I-R,Duvernay-Tardif is on the injured reserve list due to a broken fibula a Maisonneuve fracture in his leg.
Armani Watts,KAN,DB,Groin,I-R,Watts has been designated for the injured reserve list due to a groin injury and it is unclear if he will be activated in time for Week 14 against the Ravens.
Alex Ellis,KAN,TE,Undisclosed,I-R,Ellis is on injured reserve due to an unspecified ailment.
William Hayes,MIA,DE,Knee,I-R,Hayes is on the injured reserve list due to a torn ACL.
Josh Sitton,MIA,G,Shoulder,I-R,Sitton has a torn rotator cuff and has been placed on the injured reserve list.
MarQueis Gray,MIA,TE,Achilles,I-R,Gray has landed on the injured reserve list with a torn Achilles.
Mike Hull,MIA,LB,Knee,I-R,Hull suffered a left knee injury during the preseason opener and is on the injured reserve list. He will have to sit out at least the first eight games of the season.
Jake Brendel,MIA,C,Calf,I-R,Brendel is on injured reserve with a calf injury and it is unknown if he will make his season debut against the Jets in Week 9.
A.J. Derby,MIA,TE,Foot,questionable,Derby has missed the past three games with a foot injury and it is unclear if he will return Week 7 against the Lions.
Jonathan Woodard,MIA,DE,Concussion,questionable,Woodard left the previous game due to a concussion and it has yet to be established if he will be cleared in time for Week 7 against the Lions.
Ryan Tannehill,MIA,QB,Shoulder,questionable,Tannehill sat out the previous game with a shoulder issue and his availability for Week 7 against the Lions is in question.
Bobby McCain,MIA,CB,Knee,questionable,McCain is sidelined with an injured knee and it is unknown if he will return to action against the Lions during Week 7.
Charles Harris,MIA,DE,Calf,questionable,Harris was absent from the lineup during the last game with a calf injury and it is undetermined if he will take the field Week 7 against the Lions.
Cameron Wake,MIA,DE,Knee,questionable,Wake is recuperating from arthroscopic knee surgery and it is uncertain if he will suit up against the Lions in Week 7.
Luke Falk,MIA,QB,Wrist,I-R,Falk has landed on injured reserve nursing a wrist injury and is expected to miss the remainder of the 2018 season.
Daniel Kilgore,MIA,C,Arm,I-R,Kilgore has landed on injured reserve with a torn triceps muscle.
Everson Griffen,MIN,DE,Personal,out,Griffen is dealing with a personal matter and a knee injury. He will miss an undetermined length of time.
Craig James,MIN,CB,Hamstring,I-R,James has landed on injured reserve with a hamstring injury.
Aviante Collins,MIN,T,Elbow,I-R,Collins is on the injured reserve list due to a right elbow injury.
Johnny Stanton,MIN,FB,Leg,I-R,Stanton has landed on the injured reserve list with a leg injury.
Jabari Price,MIN,TE,Knee,I-R,Price is on the injured reserve list with a knee injury.
Mike Hughes,MIN,CB,Knee,out,Hughes suffered a season-ending torn ACL in his knee.
Dalvin Cook,MIN,RB,Hamstring,questionable,Cook has been held out of the past two games with a hamstring injury and it is unclear if he will return Week 7 against the Jets.
Tashawn Bower,MIN,DE,Ankle,questionable,Bower has missed the previous two games due to an ankle injury and it is unknown if he will play against the Jets in Week 7.
Riley Reiff,MIN,T,Foot,questionable,Reiff missed the last game due to a foot injury and it is uncertain if he will be available for Week 7 against the Jets.
Andrew Sendejo,MIN,S,Groin,questionable,Sendejo sat out the previous game due to a groin injury and it is undetermined if it will prevent him from playing against the Jets during Week 7.
Hercules Mata'afa,MIN,DE,Knee,I-R,Mata'afa is on the injured reserve list due to a torn ACL.
Ade Aruna,MIN,DE,Knee,I-R,Aruna has landed on injured reserve due to a torn ACL in his right knee.
Nick Easton,MIN,G,Neck,I-R,Easton is on the injured reserve list while recovering from surgery to repair a herniated disc in his neck.
Patrick Robinson,NOR,CB,Ankle,I-R,Robinson is on the injured reserve list with a broken left ankle and torn ligaments.
Tommylee Lewis,NOR,WR,Knee,I-R,Lewis is on the injured reserve list due to a knee injury and it is unknown if he will return for Week 11 against the Eagles.
Daniel Lasco,NOR,RB,Neck,I-R,"Lasco is on the PUP list with a bulging disc in his neck. Although he will be forced to sit out six weeks, he is likely to miss the entire season."
Rickey Jefferson,NOR,DB,Knee,I-R,Jefferson is on injured reserve with a knee injury.
Travin Dural,NOR,WR,Arm,I-R,Dural is on injured reserve after having surgery to repair a broken humerus.
Michael Hoomanawanui,NOR,TE,Neck,I-R,Hoomanawanui is on the injured reserve list due to a neck injury.
